stem,detector,bin_name,severity,n_gt,recall
BD_Google_381,yolo_nano,clear,0.1760522723197937,4,0.75
BD_Google_396,yolo_nano,moderate,0.3974876403808594,9,0.1111111111111111
BD_Google_397,yolo_nano,heavy,0.5715675950050354,17,0.29411764705882354
BD_Google_421,yolo_nano,light,0.2578628659248352,19,0.0
BD_Google_428,yolo_nano,heavy,0.624470591545105,10,0.7
BD_Google_435,yolo_nano,heavy,0.6304081678390503,41,0.024390243902439025
BD_Google_443,yolo_nano,heavy,0.5078759789466858,10,0.0
BD_Google_466,yolo_nano,heavy,0.7423105239868164,21,0.047619047619047616
BD_Google_501,yolo_nano,heavy,0.5978169441223145,4,0.25
BD_Google_569,yolo_nano,heavy,0.5604780912399292,17,0.17647058823529413
BD_Google_598,yolo_nano,moderate,0.4094986915588379,16,0.8125
BJ_Baidu_015,yolo_nano,heavy,0.719883143901825,24,0.0
BJ_Baidu_02,yolo_nano,moderate,0.3758344054222107,4,0.5
BJ_Baidu_029,yolo_nano,heavy,0.5944769382476807,31,0.0
BJ_Baidu_04,yolo_nano,light,0.3055552840232849,16,0.0625
BJ_Baidu_045,yolo_nano,heavy,0.7094030976295471,10,0.8
BJ_Baidu_066,yolo_nano,heavy,0.539762020111084,15,0.4666666666666667
BJ_Baidu_069,yolo_nano,heavy,0.5133395195007324,29,0.3103448275862069
BJ_Baidu_071,yolo_nano,heavy,0.4777763485908508,2,0.0
BJ_Baidu_072,yolo_nano,heavy,0.4452314972877502,21,0.6666666666666666
BJ_Baidu_077,yolo_nano,heavy,0.4962421059608459,1,0.0
BJ_Baidu_080,yolo_nano,heavy,0.5884940028190613,1,0.0
BJ_Baidu_082,yolo_nano,moderate,0.4103773236274719,5,0.4
BJ_Baidu_093,yolo_nano,heavy,0.4877275228500366,11,0.9090909090909091
BJ_Baidu_095,yolo_nano,heavy,0.4531745910644531,16,0.0
BJ_Baidu_1023,yolo_nano,light,0.3053559064865112,12,0.08333333333333333
BJ_Baidu_1035,yolo_nano,light,0.2752217650413513,17,0.058823529411764705
BJ_Baidu_1039,yolo_nano,moderate,0.4255703091621399,48,0.4583333333333333
BJ_Baidu_1081,yolo_nano,heavy,0.7273359298706055,13,0.5384615384615384
BJ_Baidu_1086,yolo_nano,clear,0.1685725450515747,4,0.5
BJ_Baidu_1090,yolo_nano,moderate,0.4105738997459411,35,0.02857142857142857
BJ_Baidu_1099,yolo_nano,light,0.3190320134162903,5,0.8
BJ_Baidu_1132,yolo_nano,heavy,0.5053367018699646,4,1.0
BJ_Baidu_1153,yolo_nano,moderate,0.4256191253662109,14,0.5
BJ_Baidu_1158,yolo_nano,moderate,0.3522021174430847,6,0.16666666666666666
BJ_Baidu_1167,yolo_nano,heavy,0.5579289197921753,7,0.14285714285714285
BJ_Baidu_1168,yolo_nano,heavy,0.4508087635040283,8,0.625
BJ_Baidu_1170,yolo_nano,heavy,0.4421260952949524,11,0.6363636363636364
BJ_Baidu_118,yolo_nano,heavy,0.46705162525177,3,0.6666666666666666
BJ_Baidu_1184,yolo_nano,light,0.3261770606040954,9,0.7777777777777778
BJ_Baidu_1191,yolo_nano,heavy,0.4691562056541443,25,0.68
BJ_Baidu_1194,yolo_nano,heavy,0.5788894891738892,9,0.7777777777777778
BJ_Baidu_1202,yolo_nano,heavy,0.611728310585022,4,0.25
BJ_Baidu_1213,yolo_nano,heavy,0.4501919746398926,13,0.6153846153846154
BJ_Baidu_126,yolo_nano,heavy,0.507638692855835,11,0.7272727272727273
BJ_Baidu_1269,yolo_nano,heavy,0.6887136697769165,3,0.6666666666666666
BJ_Baidu_132,yolo_nano,heavy,0.8107458353042603,2,0.5
BJ_Baidu_138,yolo_nano,heavy,0.6450920104980469,11,0.36363636363636365
BJ_Baidu_144,yolo_nano,heavy,0.6112596392631531,13,0.46153846153846156
BJ_Baidu_153,yolo_nano,heavy,0.6561838388442993,5,0.0
BJ_Baidu_156,yolo_nano,moderate,0.4256423115730285,6,0.8333333333333334
BJ_Baidu_157,yolo_nano,heavy,0.6063518524169922,7,0.14285714285714285
BJ_Baidu_164,yolo_nano,heavy,0.6558220386505127,7,0.42857142857142855
BJ_Baidu_165,yolo_nano,heavy,0.5748808979988098,10,0.8
BJ_Baidu_168,yolo_nano,heavy,0.6206835508346558,22,0.0
BJ_Baidu_171,yolo_nano,moderate,0.424792468547821,4,0.5
BJ_Baidu_173,yolo_nano,heavy,0.6640830039978027,14,0.6428571428571429
BJ_Baidu_181,yolo_nano,heavy,0.4885465502738952,7,0.2857142857142857
BJ_Baidu_183,yolo_nano,heavy,0.5103597640991211,7,0.42857142857142855
BJ_Baidu_192,yolo_nano,moderate,0.4053741693496704,13,0.46153846153846156
