stem,filename,relpath,severity,bin,rtdetr_l,yolo_nano,yolov8s,recall_mean,group
FogDr_Google_072,FogDr_Google_072.png,JPEGImages/FogDr_Google_072.png,0.2905926704406738,light,0.0,0.0,0.0,0.0,failure
FogDr_Google_073,FogDr_Google_073.png,JPEGImages/FogDr_Google_073.png,0.1348848491907119,clear,0.0,0.0,0.0,0.0,failure
FogDr_Google_074,FogDr_Google_074.png,JPEGImages/FogDr_Google_074.png,0.2300378978252411,clear,0.0,0.0,0.0,0.0,failure
FogDr_Google_077,FogDr_Google_077.png,JPEGImages/FogDr_Google_077.png,0.2339650243520736,clear,1.0,1.0,1.0,1.0,clear
FogDr_Google_080,FogDr_Google_080.png,JPEGImages/FogDr_Google_080.png,0.3119255006313324,light,0.0,0.0,0.3333333333333333,0.1111111111111111,failure
FogDr_Google_140,FogDr_Google_140.png,JPEGImages/FogDr_Google_140.png,0.1442724615335464,clear,0.0,0.0,0.0,0.0,failure
FogDr_Google_172,FogDr_Google_172.png,JPEGImages/FogDr_Google_172.png,0.3022763729095459,light,1.0,0.0,1.0,0.6666666666666666,intermediate
FogDr_Google_187,FogDr_Google_187.png,JPEGImages/FogDr_Google_187.png,0.3261065483093261,light,0.15,0.1,0.15,0.13333333333333333,failure
FogDr_Google_246,FogDr_Google_246.png,JPEGImages/FogDr_Google_246.png,0.3437877297401428,light,0.0,0.5,0.6666666666666666,0.38888888888888884,intermediate
FogDr_Google_279,FogDr_Google_279.png,JPEGImages/FogDr_Google_279.png,0.146243542432785,clear,1.0,1.0,1.0,1.0,clear
FogDr_Google_294,FogDr_Google_294.png,JPEGImages/FogDr_Google_294.png,0.337281733751297,light,0.0,0.0,0.0,0.0,failure
FogDr_Google_365,FogDr_Google_365.png,JPEGImages/FogDr_Google_365.png,0.0541875809431076,clear,0.0,0.0,0.0,0.0,failure
FogDr_Google_429,FogDr_Google_429.png,JPEGImages/FogDr_Google_429.png,0.3254349529743194,light,0.0,0.0,0.0,0.0,failure
FogDr_Google_519,FogDr_Google_519.png,JPEGImages/FogDr_Google_519.png,0.2667613327503204,light,1.0,1.0,1.0,1.0,clear
FogDr_Google_520,FogDr_Google_520.png,JPEGImages/FogDr_Google_520.png,0.3252665102481842,light,1.0,0.0,0.0,0.3333333333333333,intermediate
FogDr_Google_694,FogDr_Google_694.png,JPEGImages/FogDr_Google_694.png,0.1898364126682281,clear,0.5,0.5,0.5,0.5,intermediate
FogDr_Google_713,FogDr_Google_713.png,JPEGImages/FogDr_Google_713.png,0.3463277816772461,light,0.0,0.0,0.0,0.0,failure
FogDr_Google_724,FogDr_Google_724.png,JPEGImages/FogDr_Google_724.png,0.3068574965000152,light,1.0,1.0,1.0,1.0,clear
FogDr_Google_744,FogDr_Google_744.png,JPEGImages/FogDr_Google_744.png,0.2202332913875579,clear,0.0,0.0,0.0,0.0,failure
FogDr_Google_798,FogDr_Google_798.png,JPEGImages/FogDr_Google_798.png,0.3421819508075714,light,0.8571428571428571,0.7142857142857143,0.8571428571428571,0.8095238095238094,clear
GRCN_Google_713,GRCN_Google_713.png,JPEGImages/GRCN_Google_713.png,0.2544280886650085,clear,0.0,0.0,0.0,0.0,failure
GSGL_Baidu_051,GSGL_Baidu_051.png,JPEGImages/GSGL_Baidu_051.png,0.208363190293312,clear,0.0327868852459016,0.0,0.0,0.010928961748633866,failure
GSGL_Baidu_1016,GSGL_Baidu_1016.png,JPEGImages/GSGL_Baidu_1016.png,0.2628165185451507,light,0.0,0.0,0.3333333333333333,0.1111111111111111,failure
GSGL_Baidu_1035,GSGL_Baidu_1035.png,JPEGImages/GSGL_Baidu_1035.png,0.2757791876792907,light,0.6870229007633588,0.2977099236641221,0.5572519083969466,0.5139949109414759,intermediate
GSGL_Baidu_1054,GSGL_Baidu_1054.png,JPEGImages/GSGL_Baidu_1054.png,0.1968259960412979,clear,0.3703703703703703,0.2222222222222222,0.3703703703703703,0.3209876543209876,intermediate
GSGL_Baidu_1066,GSGL_Baidu_1066.png,JPEGImages/GSGL_Baidu_1066.png,0.266810804605484,light,0.1428571428571428,0.1428571428571428,0.1428571428571428,0.1428571428571428,failure
GSGL_Baidu_1136,GSGL_Baidu_1136.png,JPEGImages/GSGL_Baidu_1136.png,0.270417183637619,light,1.0,1.0,0.0,0.6666666666666666,intermediate
